python3-pip python3-pip python3-pip 24.0 13535
python3-core python3-core python3 3.12.6 8960
kernel-image-zimage-6.13.1 kernel-image-zimage linux-stable 6.13.1 7733
libpython3.12-1.0 libpython3 python3 3.12.6 4834
python3-setuptools python3-setuptools python3-setuptools 69.1.1 4437
libglib-2.0-0 glib-2.0 glib-2.0 2.78.6 3208
libcrypto3 libcrypto openssl 3.2.3 3202
shared-mime-info shared-mime-info shared-mime-info 2.4 2766
python3-misc python3-misc python3 3.12.6 2376
python3-idle python3-idle python3 3.12.6 2094
libc6 glibc glibc 2.39+git 2008
libstdc++6 libstdc++ gcc-runtime 13.3.0 1954
python3-ensurepip python3-ensurepip python3 3.12.6 1794
libunistring5 libunistring libunistring 1.2 1677
shadow shadow shadow 4.14.2 1618
python3-pydoc python3-pydoc python3 3.12.6 1533
openssh-sshd openssh-sshd openssh 9.6p1 1482
vim-tiny vim-tiny vim-tiny 9.1.0698 1461
python3-pkg-resources python3-pkg-resources python3-setuptools 69.1.1 1357
python3-asyncio python3-asyncio python3 3.12.6 1312
eudev eudev eudev 3.2.14 1273
libsqlite3-0 libsqlite3 sqlite3 3.45.1 1218
libx11-6 libx11 libx11 1.8.9 1154
libxml2 libxml2 libxml2 2.12.8 1146
kernel-module-mac80211-6.13.1 kernel-module-mac80211-6.13.1 linux-stable 6.13.1 956
python3-netclient python3-netclient python3 3.12.6 936
python3-email python3-email python3 3.12.6 928
kernel-module-cfg80211-6.13.1 kernel-module-cfg80211-6.13.1 linux-stable 6.13.1 913
python3-tkinter python3-tkinter python3 3.12.6 859
openssh-ssh openssh-ssh openssh 9.6p1 831
python3-numbers python3-numbers python3 3.12.6 821
openssl-bin openssl-bin openssl 3.2.3 815
python3-xml python3-xml python3 3.12.6 768
libssl3 libssl openssl 3.2.3 753
python3-io python3-io python3 3.12.6 748
busybox busybox busybox 1.36.1 726
python3-multiprocessing python3-multiprocessing python3 3.12.6 682
libarchive libarchive libarchive 3.7.4 672
python3-2to3 python3-2to3 python3 3.12.6 667
libzstd1 libzstd zstd 1.5.5 645
ldconfig ldconfig glibc 2.39+git 641
kernel-module-bluetooth-6.13.1 kernel-module-bluetooth-6.13.1 linux-stable 6.13.1 612
python3-unittest python3-unittest python3 3.12.6 532
libsolv1 libsolv libsolv 0.7.28 522
libcurl4 libcurl curl 8.7.1 515
python3-compression python3-compression python3 3.12.6 494
openssh-keygen openssh-keygen openssh 9.6p1 486
kernel-devicetree kernel-devicetree linux-stable 6.13.1 473
libfdisk1 util-linux-libfdisk util-linux 2.39.3 441
python3-pickle python3-pickle python3 3.12.6 439
squashfs-tools squashfs-tools squashfs-tools 4.6.1 415
libmount1 util-linux-libmount util-linux 2.39.3 394
rauc rauc rauc 1.13 387
